상호명,위도(lat),경도(lon),소재지,count
성심상회,36.0381442516156,129.36800122423,경북 포항시 북구 불종로 78,23
복돼지복권방,35.950267495601,126.938034324236,전북 익산시 선화로1길 4 배산시티프라자 1층 107호,23
하나열쇠,35.116213154382,129.111171634666,부산 남구 용호로 179,23
AM&PM,35.2303584577796,128.881878271132,경남 김해시 가락로 43 복권판매점,23
복권천국방,37.5542374342588,126.912399133958,서울 마포구 동교로 92 1층,23
준,36.9826625767177,126.882273425513,경기 평택시 서동대로 1152,23
대박복권방,38.026060905974,127.067723655248,경기 연천군 온골로 57-1,23
신림마트,37.4836621995067,126.927071163442,서울 관악구 남부순환로 1588,23
제주대림점,33.4787226001942,126.487607825885,제주 제주시 과원북2길 48,23
대박찬스,37.7197840942478,127.183938971283,경기 남양주시 장현로 111 1층1호,23
행운의집제1호점,36.5651470881773,128.733325027314,경북 안동시 영가로 24,23
팡팡복권방,36.9900369472003,127.445326626503,충북 진천군 장기길 102,23
대박행진 복권랜드,37.7516589858332,126.76694335458,경기 파주시 금빛로 22 금촌프라자107호,23
행운복권방,37.4843500526233,127.593675837624,경기 양평군 용문로 358-1 1층,23
로또행운마트,35.2037837311904,128.810011432096,경남 김해시 능동로 177 복권판매점,23
영약국,36.1022839301448,127.493131752127,충남 금산군 인삼로 104,23
황금대박점,37.6359987604126,127.071026820203,서울 노원구 공릉로 328,23
충청복권전문점,36.9169574702619,127.132852232982,충남 천안시 서북구 성환2로 108,23
행운마트,36.8819314690927,126.910729910912,충남 아산시 서해로 654 1층 GS편의점,23
노다지복권방,35.2098591452735,129.035350064955,부산 북구 덕천로 287,23
로또복권방,37.5089118642243,127.027074158958,서울 강남구 강남대로122길 50 103호,23
새상무복권,35.1499501736118,126.847669960948,광주 서구 치평로 30 수암빌딩 1층 102호,22
천하명당,34.7572010336855,127.674023252114,전남 여수시 망마로 107,22
흥양마중물,37.3836922357711,127.975354200086,강원 원주시 치악로 2335 1층,22
태극로또전문점,37.2814910702821,127.450301616688,경기 이천시 애련정로 124-2,22
동명슈퍼,38.2088777176813,128.592770923016,강원 속초시 중앙로 205 GS25동명점,22
대박,37.3930187793518,126.962287233607,경기 안양시 동안구 관평로170번길 33,22
운수대통복권방,37.5095483659944,126.672267076704,인천 서구 가정로 277,22
성진마트,37.5167404495205,126.779077169669,경기 부천시 오정구 수도로 121 105호,22
왕대박복권,35.8608977936212,128.461048487799,대구 달성군 달구벌대로 812,22
황금로또,37.3819946152222,127.950354603198,강원 원주시 현충로318번길 35 1층,22
대운,37.6536126147839,126.595807855572,경기 김포시 대명항로 209,22
학동복권나라,34.7635691680105,127.663464230519,전남 여수시 흥국로 6,22
대전우표사,36.3301419650559,127.432108815301,대전 동구 중앙로204번길 16-1,22
덕하복권명당,35.4919477080637,129.305313257119,울산 울주군 덕하로 238,22
안전열쇠,37.5428637628751,126.731866121842,인천 계양구 경명대로 1124 명인프라자102호,22
수암완구,35.5280774008752,129.320196291119,울산 남구 수암로 118,22
운수대통,37.4708595158359,126.702180311352,인천 부평구 동암광장로 6 1층 A호,22
홈돌이로또복권,37.6238474484456,126.698608499582,경기 김포시 중봉로 14 삼성홈플러스2층,22
로또왕대박,37.2158295244841,126.976636516783,경기 화성시 와우안길 46 1층,22
버스가판대,37.4318475450778,127.129573588389,경기 성남시 중원구 성남대로 1144,22
행운복권방,37.6198100033795,126.923335802805,서울 은평구 연서로 258 상가102호,22
